Provinsi Sulawesi Selatan
Pinrang, Kab.
Gowa, Kab.
Wajo, Kab.
Mamuju, Kab.
Bone, Kab.
Tana Toraja, Kab.
Maros, Kab.
Majene, Kab.
Luwu, Kab.
Sinjai, Kab.
Bulukumba, Kab.
Bantaeng, Kab.
Jeneponto, Kab.
Selayar, Kab.
Takalar, Kab.
Barru, Kab.
Sidenreng Rappang, Kab.
Pangkajene Kepulauan, Kab.
Watansoppeng, Kab.
Polewali, Kab.
Enrekang, Kab.
Luwu Selatan, Kab.
Mamasa, Kab.
Luwu Utara, Kab.
Prov. Sulawesi Selatan, Kab./Kota Lainnya.
Makassar, Kota.
Pare-Pare, Kota.
Palopo, Kota.
Watampone, Kota.
Provinsi Sulawesi Utara
Minahasa, Kab.
Bolaang Mongondow, Kab.
Sangihe, Kab.
kepulauan Talaud, Kab.
Minahasa Selatan, Kab.
Sulawesi Utara, Kab./Kota Lainnya.
Menado, Kota.
Bitung, Kota.
Kota. Tomohon
Provinsi Gorontalo
Gorontalo, Kab.
Bualemo, Kab.
Bonebolango, Kab.
Pohuwato, Kab.
Prov. Gorontalo, Kab./Kota Lainnya.
Gorontalo, Kota.
Provinsi Sulawesi Tenggara
Buton, Kab.
Kendari, Kab.
Muna, Kab.
Kolaka, Kab.
Prov. Sulawesi Tenggara, Kab./Kota Lainnya.
Bau-Bau, Kota.
Kendari, Kota.
Provinsi Nusa Tenggara Barat
Lombok Barat, Kab.
Lombok Tengah, Kab.
Lombok Timur, Kab.
Sumbawa, Kab.
Bima, Kab.
Dompu, Kab.
Prov. NTB, Kab./Kota Lainnya.
Mataram, Kota.
Kota. Bima
Provinsi Bali
Buleleng, Kab.
Jembrana, Kab.
Tabanan, Kab.
Badung, Kab.
Gianyar, Kab.
Klungkung, Kab.
Bangli, Kab.
Karangasem, Kab.
Prov. Bali, Kab./Kota Lainnya.
Mimika, Kab.
Puncak Jaya, Kab.
Sarmi, Kab.
Keerom, Kab.
Sorong Selatan, Kab.
Raja Ampat, Kab.
Pegunungan Bintang, Kab.
Yahukimo, Kab.
Tolikara, Kab.
Waropen, Kab.
Kaimana, Kab.
Boven Digoel, Kab.
Mappi, Kab.
Asmat, Kab.
Teluk Bintuni, Kab.
Teluk Wondama, Kab.
Prov. Papua, Kab./Kota Lainnya.
Jayapura, Kota.
Sorong, Kota.
Provinsi Maluku Utara
Maluku Utara, Kab.
Halmahera Tengah, Kab.
Prov. Maluku Utara, Kab./Kota Lainnya.
Ternate, Kota.
DI  LUAR  INDONESIA
Siak, Kab.
Kuantan Singingi, Kab.
Prov. Riau, Kab./Kota Lainnya.
Pekanbaru, Kota.
Dumai, Kota.
Tanjungpinang, Kota.
Batam, Kota.
Provinsi Sumatera Selatan
Musi Banyuasin, Kab.
Ogan Komering Ulu, Kab.
Lematang Ilir Ogan Tengah (Muara Enim), Kab.
Lahat, Kab.
Musi Rawas, Kab.
Ogan Komering Ilir, Kab.
Pangkalan Balai, Kab.
Prov Sumatera Selatan, Kab./Kota Lainnya.
Palembang, Kota.
Lubuklinggau, Kota.
Prabumulih, Kota.
Baturaja, Kota.
Pagar Alam, Kota.
Provinsi Kep. Bangka Belitung
Bangka, Kab.
